Id,title,rating
392,The Amber Spyglass,4.08
393,Ready Player One,4.29
394,'Salem's Lot,4
395,Inferno,3.99
396,Evermore,3.59
397,The Hunchback of Notre-Dame,3.98
398,Cloud Atlas,4.02
399,Shatter Me,3.99
400,The BFG,4.22
401,A Fine Balance,4.35
402,Dragonfly in Amber,4.32
403,The Origin of Species,3.98
404,A Streetcar Named Desire,3.98
405,The Angel Experiment,4.08
406,Room,4.04
407,Death of a Salesman,3.5
408,The Lord of the Rings,4.48
409,The Subtle Knife,4.12
410,Breakfast of Champions,4.08
411,The Final Empire,4.44
412,American Psycho,3.82
413,Snow Flower and the Secret Fan,4.06
414,Midnight in the Garden of Good and Evil,3.91
415,Faust: First Part,3.93
416,The Shipping News,3.85
417,Infinite Jest,4.31
418,The Prince,3.79
419,Anna and the French Kiss,4.04
420,Houdini Heart,4.23
421,The Way of Kings,4.65
422,Daughter of Smoke & Bone,4.03
423,The Scarlet Pimpernel,4.07
424,Hopeless,4.32
425,The Chosen,4.04
426,High Fidelity,3.94
427,Flowers in the Attic,3.8
428,City of Heavenly Fire,4.47
429,The Tales of Beedle the Bard,4.07
430,The Plague,3.98
431,Matched,3.67
432,Nineteen Minutes,4.11
433,The Remains of the Day,4.11
434,"Unbroken: A World War II Story of Survival, Resilience and Redemption",4.38
435,The Reader,3.74
436,Jonathan Strange & Mr Norrell,3.81
437,Betrayed,3.92
438,Wonder,4.45
439,The Virgin Suicides,3.84
440,A Feast for Crows,4.12
441,A Court of Mist and Fury,4.69
442,"Blood Meridian, or the Evening Redness in the West",4.18
443,Artemis Fowl,3.83
444,The Age of Innocence,3.94
445,Untamed,3.95
446,Harry Potter Series Box Set,4.74
447,East of Eden,4.36
448,Pippi Longstocking,4.12
449,Miss Peregrine's Home for Peculiar Children,3.9
450,Neuromancer,3.89
451,The Martian,4.4
452,Redeeming Love,4.49
453,The Strange Case of Dr. Jekyll and Mr. Hyde,3.8
454,The Waste Land,4.1
455,Shantaram,4.27
456,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.99
457,Lover Awakened,4.45
458,Northanger Abbey,3.81
459,The Pearl,3.44
460,Divine Secrets of the Ya-Ya Sisterhood,3.8
461,The Lost Symbol,3.68
462,Waiting for Godot,3.82
463,Chosen,3.91
464,11/22/1963,4.3
465,Dubliners,3.86
466,The Jungle,3.73
467,Me Talk Pretty One Day,3.98
468,The Voyage of the Dawn Treader,4.09
469,Everything Is Illuminated,3.9
470,Snow Falling on Cedars,3.82
471,To the Lighthouse,3.77
472,The Twilight Collection,3.79
473,"I, Claudius",4.27
474,A Room with a View,3.9
475,The House of Hades,4.55
476,I Know Why the Caged Bird Sings,4.21
477,A Dance with Dragons,4.32
478,"I, Robot",4.18
479,Carrie,3.94
480,Hamlet,4.01
481,The Last Battle,4.03
482,Bloodlines,4.21
483,The Iron King,3.91
484,Bleak House,4
485,The Exorcist,4.15
486,The One,4.21
487,Voyager,4.39
488,Torment,3.88
489,Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder,4
490,Vanity Fair,3.77
491,The God Delusion,3.9
492,The Republic,3.92
493,Johnny Got His Gun,4.17
494,The Complete Poems of Emily Dickinson,4.21
495,The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,4.57
496,Crown of Midnight,4.47
497,Of Human Bondage,4.13
498,Snow Crash,4.03
499,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64
500,A Great and Terrible Beauty,3.79
501,North and South,4.13
502,The Witching Hour,4.11
503,Bared to You,4.19
504,Perfect Chemistry,4.07
505,Halfway to the Grave,4.18
506,Wizard's First Rule,4.13
507,The Host,3.84
508,"Cry, the Beloved Country",3.88
509,Chocolat,3.95
510,World War Z: An Oral History of the Zombie War,4.01
511,The 5th Wave,4.08
512,The Summoning,4.03
513,Are You My Mother?,4.17
514,Cannery Row,4.03
515,The Woman in White,3.99
516,The War of the Worlds,3.81
517,"You Are Special (Wemmicksville, #1)",4.45
518,The Polar Express,4.3
519,Ishmael: An Adventure of the Mind and Spirit,3.98
520,Just Listen,4.06
521,The Unbecoming of Mara Dyer,4.08
522,Much Ado About Nothing,4.06
523,Acheron,4.59
524,Silence,4.14
525,Unwind,4.18
526,Sarah's Key,4.15
527,The Glass Menagerie,3.68
528,Dead to the World,4.14
529,Lady Chatterley's Lover,3.5
530,Demian. Die Geschichte von Emil Sinclairs Jugend,4.11
531,The Truth About Forever,4.13
532,Hunted,3.93
533,I Am Number Four,3.94
534,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.13
535,War and Peace,4.1
536,Nine Stories,4.19
537,The Last Lecture,4.26
538,The Arabian Nights,4.05
539,The Bronze Horseman,4.32
540,Being and Time,4.01
541,I Capture the Castle,4
542,Twelfth Night,3.98
543,Coraline,4.04
544,The Hours,3.93
545,Heir of Fire,4.51
546,Swann's Way,4.14
